,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
32,1999,NBA,1,9,PHO,Shawn Marion\mariosh01,21.059,F,us,University of Nevada Las Vegas,2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,.484,.513,.331,.810,124.9,.150
33,1998,NBA,1,5,GSW,Vince Carter\cartevi01,21.154,G-F,us,University of North Carolina,1999,2018,1405,31.4,17.7,4.5,3.3,1.0,0.6,.437,.461,.373,.799,123.5,.134
34,1968,NBA,1,1,SDR,Elvin Hayes\hayesel01,22.205,F-C,us,University of Houston,1969,1984,1303,38.4,21.0,12.5,1.8,0.7,1.4,.452,.453,.147,.670,120.8,.116
35,1997,NBA,1,3,BOS,Chauncey Billups\billuch01,20.278,G,us,University of Colorado,1998,2014,1043,31.6,15.2,2.9,5.4,1.0,0.2,.415,.435,.387,.894,120.8,.176
36,1981,NBA,1,3,NJN,Buck Williams\willibu01,21.098,F-C,us,University of Maryland,1982,1998,1307,32.5,12.8,10.0,1.3,0.8,0.8,.549,.550,.167,.664,120.1,.136
37,2003,NBA,1,5,MIA,Dwyane Wade\wadedw01,21.165,G,us,Marquette University,2004,2018,982,34.5,22.5,4.7,5.5,1.6,0.9,.483,.504,.287,.767,118.3,.168
38,1987,NBA,1,10,CHI,Horace Grant\grantho01,21.358,F-C,us,Clemson University,1988,2004,1165,33.2,11.2,8.1,2.2,1.0,1.0,.509,.511,.063,.692,118.2,.147
39,1982,NBA,1,3,UTA,Dominique Wilkins\wilkido01,22.174,F-G,fr,University of Georgia,1983,1999,1074,35.5,24.8,6.7,2.5,1.3,0.6,.461,.478,.319,.811,117.5,.148
40,1970,NBA,1,1,DET,Bob Lanier\laniebo01,21.199,C,us,St. Bonaventure University,1971,1984,959,33.5,20.1,10.1,3.1,0.8,1.1,.514,.515,.154,.767,117.1,.175
41,1991,NBA,1,4,DEN,Dikembe Mutombo\mutomdi01,25.007,C,cd,Georgetown University,1992,2009,1196,30.8,9.8,10.3,1.0,0.4,2.8,.518,.518,.000,.684,117.0,.153
42,1959,NBA,1,2,DET,Bailey Howell\howelba01,22.075,F,us,Mississippi State University,1960,1971,950,32.2,18.7,9.9,2.0,,,.480,.480,,.762,114.8,.180
43,1967,NBA,1,5,NYK,Walt Frazier\fraziwa01,22.040,G,us,Southern Illinois University,1968,1980,825,37.5,18.9,5.9,6.1,0.8,0.1,.490,.490,.000,.786,113.5,.176
44,1980,NBA,1,3,BOS,Kevin McHale\mchalke01,22.179,F-C,us,University of Minnesota,1981,1993,971,31.0,17.9,7.3,1.7,0.4,1.7,.554,.558,.261,.798,113.0,.180
45,1977,NBA,1,8,SEA,Jack Sikma\sikmaja01,21.214,C-F,us,Illinois Wesleyan University,1978,1991,1107,33.4,15.6,9.8,3.2,1.0,0.9,.464,.470,.328,.849,112.5,.146
46,1968,NBA,1,2,BAL,Wes Unseld\unselwe01,22.088,C-F,us,University of Louisville,1969,1981,984,36.4,10.8,14.0,3.9,0.6,0.4,.509,.509,.500,.633,110.1,.147
47,1999,NBA,1,1,CHI,Elton Brand\brandel01,20.116,F,us,Duke University,2000,2016,1058,33.0,15.9,8.5,2.1,0.9,1.7,.500,.501,.095,.736,109.6,.151
48,1985,NBA,1,8,DAL,Detlef Schrempf\schrede01,22.154,F-C,de,University of Washington,1986,2001,1136,29.6,13.9,6.2,3.4,0.8,0.3,.491,.505,.384,.803,109.5,.156
49,2009,NBA,1,3,OKC,James Harden\hardeja01,19.308,G,us,Arizona State University,2010,2018,687,33.8,23.0,5.1,6.1,1.5,0.5,.443,.503,.364,.854,106.7,.220
50,1984,NBA,1,9,KCK,Otis Thorpe\thorpot01,21.324,F-C,us,Providence College,1985,2001,1257,31.7,14.0,8.2,2.2,0.7,0.4,.546,.548,.047,.687,106.4,.128
51,2003,NBA,1,4,TOR,Chris Bosh\boshch01,19.098,F-C,us,Georgia Institute of Technology,2004,2016,893,35.8,19.2,8.5,2.0,0.8,1.0,.494,.506,.335,.799,106.0,.159
52,1984,NBA,1,4,DAL,Sam Perkins\perkisa01,23.011,F-C,us,University of North Carolina,1985,2001,1286,28.5,11.9,6.0,1.5,0.9,0.7,.459,.482,.362,.811,105.4,.138
53,1995,NBA,1,4,WSB,Rasheed Wallace\wallara01,20.289,F-C,us,University of North Carolina,1996,2013,1109,32.7,14.4,6.7,1.8,1.0,1.3,.467,.508,.336,.721,105.1,.139
54,1958,NBA,1,1,MNL,Elgin Baylor\bayloel01,23.224,F,us,Seattle University,1959,1972,846,40.0,27.4,13.5,4.3,,,.431,.431,,.780,104.2,.148
55,1999,NBA,1,10,ATL,Jason Terry\terryja01,21.293,G,us,University of Arizona,2000,2018,1410,29.8,13.4,2.3,3.8,1.1,0.2,.444,.484,.380,.845,102.0,.116
56,1999,NBA,1,8,CLE,Andre Miller\millean02,23.108,G,us,University of Utah,2000,2016,1304,30.9,12.5,3.7,6.5,1.2,0.2,.461,.478,.217,.807,100.8,.120
57,2003,NBA,1,3,DEN,Carmelo Anthony\anthoca01,19.032,F,us,Syracuse University,2004,2018,1054,35.9,24.1,6.5,3.0,1.0,0.5,.449,.473,.347,.812,100.7,.128
58,1994,NBA,1,10,LAL,Eddie Jones\jonesed02,22.258,G-F,us,Temple University,1995,2008,954,34.4,14.8,4.0,2.9,1.7,0.6,.437,.474,.373,.809,100.6,.147
59,1994,NBA,1,3,DET,Grant Hill\hillgr01,21.272,F-G,us,Duke University,1995,2013,1026,33.9,16.7,6.0,4.1,1.2,0.6,.483,.493,.314,.769,99.9,.138
60,2001,NBA,1,2,LAC,Tyson Chandler\chandty01,18.273,C,us,,2002,2018,1079,28.3,8.6,9.4,0.9,0.6,1.2,.596,.597,.000,.646,99.4,.156
61,1996,NBA,1,1,PHI,Allen Iverson\iversal01,21.025,G,us,Georgetown University,1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,.425,.448,.313,.780,99.0,.126
62,2006,NBA,1,2,CHI,LaMarcus Aldridge\aldrila01,20.349,F-C,us,University of Texas at Austin,2007,2018,869,34.6,19.4,8.3,1.9,0.8,1.1,.489,.494,.288,.806,97.6,.156
63,1997,NBA,1,9,TOR,Tracy McGrady\mcgratr01,18.037,F-G,us,,1998,2012,938,32.7,19.6,5.6,4.4,1.2,0.9,.435,.461,.338,.746,97.3,.152
64,1960,NBA,1,6,STL,Lenny Wilkens\wilkele01,22.171,G,us,Providence College,1961,1975,1077,35.3,16.5,4.7,6.7,0.2,0.0,.432,.432,,.774,95.5,.120
65,1965,NBA,1,2,SFW,Rick Barry\barryri01,21.044,F,us,University of Miami,1966,1980,794,36.3,23.2,6.5,5.1,1.4,0.3,.449,.450,.330,.900,93.4,.156
66,2009,NBA,1,7,GSW,Stephen Curry\curryst01,21.108,G,us,Davidson College,2010,2018,625,34.4,23.1,4.4,6.8,1.8,0.2,.477,.513,.436,.903,93.3,.208
67,1985,NBA,1,7,GSW,Chris Mullin\mullich01,21.329,F-G,us,St. John's University,1986,2001,986,32.6,18.2,4.1,3.5,1.6,0.6,.509,.533,.384,.865,93.1,.139
68,1987,NBA,1,7,CLE,Kevin Johnson\johnske02,21.115,G,us,University of California,1988,2000,735,34.1,17.9,3.3,9.1,1.5,0.2,.493,.504,.305,.841,92.8,.178
69,2002,NBA,1,9,PHO,Amar'e Stoudemire\stoudam01,19.227,F-C,us,,2003,2016,846,31.0,18.9,7.8,1.2,0.8,1.2,.537,.540,.236,.761,92.5,.169
70,1957,NBA,1,8,BOS,Sam Jones\jonessa01,23.303,G-F,us,North Carolina Central University,1958,1969,871,27.9,17.7,4.9,2.5,,,.456,.456,,.803,92.3,.182
71,2004,NBA,1,9,PHI,Andre Iguodala\iguodan01,20.153,G-F,us,University of Arizona,2005,2018,1040,34.1,12.6,5.2,4.4,1.5,0.5,.465,.516,.333,.713,92.1,.125
72,1950,NBA,1,3,TRI,Bob Cousy\cousybo01,21.264,G,us,College of the Holy Cross,1951,1970,924,32.6,18.4,5.2,7.5,,,.375,.375,,.803,91.1,.145
73,1982,NBA,1,2,SDC,Terry Cummings\cummite01,21.111,F,us,DePaul University,1983,2000,1183,28.7,16.4,7.3,1.9,1.1,0.5,.484,.486,.295,.706,91.1,.129
74,1988,NBA,1,6,LAC,Hersey Hawkins\hawkihe01,21.278,G,us,Bradley University,1989,2001,983,32.6,14.7,3.6,2.9,1.7,0.3,.461,.488,.394,.870,90.6,.136
75,1979,NBA,1,5,MIL,Sidney Moncrief\moncrsi01,21.282,G,us,University of Arkansas,1980,1991,767,30.2,15.6,4.7,3.6,1.2,0.3,.502,.513,.284,.831,90.3,.187
76,2008,NBA,1,4,SEA,Russell Westbrook\westbru01,19.231,G,us,University of California Los Angeles,2009,2018,748,34.4,23.0,6.6,8.2,1.7,0.3,.435,.464,.311,.814,90.1,.168
77,1985,NBA,1,9,CLE,Charles Oakley\oaklech01,21.188,F-C,us,Virginia Union University,1986,2004,1282,31.4,9.7,9.5,2.5,1.1,0.3,.471,.477,.253,.761,89.7,.107
78,1992,NBA,1,2,CHH,Alonzo Mourning\mournal01,22.142,C,us,Georgetown University,1993,2008,838,31.0,17.1,8.5,1.1,0.5,2.8,.527,.530,.247,.692,89.7,.166
79,1972,NBA,1,2,BUF,Bob McAdoo\mcadobo01,20.203,C-F,us,University of North Carolina,1973,1986,852,33.2,22.1,9.4,2.3,0.9,1.3,.503,.504,.081,.754,89.1,.151
80,1989,NBA,1,4,MIA,Glen Rice\ricegl01,22.036,F,us,University of Michigan,1990,2004,1000,35.0,18.3,4.4,2.1,1.0,0.3,.456,.476,.400,.846,88.7,.122
81,1998,NBA,1,4,TOR,Antawn Jamison\jamisan01,22.017,F,us,University of North Carolina,1999,2014,1083,34.8,18.5,7.5,1.6,1.0,0.4,.451,.477,.346,.724,87.8,.112
82,1970,NBA,1,4,BOS,Dave Cowens\cowenda01,21.154,C-F,us,Florida State University,1971,1983,766,38.6,17.6,13.6,3.8,0.8,0.6,.460,.460,.071,.783,86.3,.140
83,1983,NBA,1,9,DAL,Dale Ellis\ellisda01,22.331,G-F,us,University of Tennessee,1984,2000,1209,28.8,15.7,3.5,1.4,0.8,0.2,.479,.509,.403,.784,84.7,.117
84,1993,NBA,1,1,ORL,Chris Webber\webbech01,20.126,F-C,us,University of Michigan,1994,2008,831,37.1,20.7,9.8,4.2,1.4,1.4,.479,.490,.299,.649,84.7,.132
85,1991,NBA,1,5,MIA,Steve Smith\smithst01,22.092,G,us,Michigan State University,1992,2005,942,30.6,14.3,3.2,3.1,0.8,0.3,.440,.476,.358,.845,83.7,.139
86,2001,NBA,1,10,BOS,Joe Johnson\johnsjo02,20.003,G-F,us,University of Arkansas,2002,2018,1276,34.7,16.0,4.0,3.9,0.8,0.2,.441,.472,.371,.802,82.8,.090
87,1996,NBA,1,2,TOR,Marcus Camby\cambyma01,22.102,C-F,us,University of Massachusetts Amherst,1997,2013,973,29.5,9.5,9.8,1.9,1.0,2.4,.466,.469,.205,.670,81.6,.137
88,1982,NBA,1,1,LAL,James Worthy\worthja01,21.127,F,us,University of North Carolina,1983,1994,926,32.4,17.6,5.1,3.0,1.1,0.7,.521,.532,.241,.769,81.2,.130
89,1966,NBA,1,4,STL,Lou Hudson\hudsolo01,21.309,F-G,us,University of Minnesota,1967,1979,890,33.5,20.2,4.4,2.7,0.6,0.1,.489,.489,,.797,81.0,.131
90,1981,NBA,1,2,DET,Isiah Thomas\thomais01,20.045,G,us,Indiana University,1982,1994,979,36.3,19.2,3.6,9.3,1.9,0.3,.452,.468,.290,.759,80.7,.109
91,1964,NBA,2,10,STL,Paul Silas\silaspa01,20.302,F-C,us,Creighton University,1965,1980,1254,27.9,9.4,9.9,2.1,0.3,0.1,.432,.432,,.673,79.9,.110
92,1977,NBA,1,3,MIL,Marques Johnson\johnsma01,21.128,F-G,us,University of California Los Angeles,1978,1990,691,34.3,20.1,7.0,3.6,1.3,0.8,.518,.521,.152,.739,79.8,.162
93,1988,NBA,1,5,GSW,Mitch Richmond\richmmi01,23.004,G,us,Kansas State University,1989,2002,976,35.2,21.0,3.9,3.5,1.2,0.3,.455,.474,.388,.850,79.3,.111
94,1981,NBA,1,8,SDC,Tom Chambers\chambto01,21.359,F-C,us,University of Utah,1982,1998,1107,30.6,18.1,6.1,2.1,0.8,0.6,.468,.476,.307,.807,79.0,.112
95,2007,NBA,1,3,ATL,Al Horford\horfoal01,21.030,C-F,do,University of Florida,2008,2018,718,33.2,14.2,8.6,3.2,0.8,1.2,.525,.541,.370,.750,78.3,.158
96,1963,NBA,1,3,SFW,Nate Thurmond\thurmna01,21.284,C-F,us,Bowling Green State University,1964,1977,964,37.2,15.0,15.0,2.7,0.1,0.6,.421,.421,,.667,78.0,.104
97,1996,NBA,1,4,MIL,Stephon Marbury\marbust01,19.131,G,us,Georgia Institute of Technology,1997,2009,846,37.7,19.3,3.0,7.6,1.2,0.1,.433,.465,.325,.784,77.5,.117
98,1967,NBA,1,2,BAL,Earl Monroe\monroea01,22.168,G,us,Winston-Salem State University,1968,1980,926,32.0,18.8,3.0,3.9,0.5,0.1,.464,.464,,.807,77.4,.125
99,2005,NBA,1,3,UTA,Deron Williams\willide01,21.007,G,us,University of Illinois at Urbana-Champaign,2006,2017,845,34.2,16.3,3.1,8.1,1.0,0.2,.445,.482,.357,.822,77.3,.129
100,1999,NBA,1,4,LAC,Lamar Odom\odomla01,19.241,F,us,University of Rhode Island,2000,2013,961,33.4,13.3,8.4,3.7,0.9,0.9,.463,.502,.312,.693,77.0,.115
101,1977,NBA,1,5,PHO,Walter Davis\daviswa03,22.280,G-F,us,University of North Carolina,1978,1992,1033,27.9,18.9,3.0,3.8,1.2,0.1,.511,.521,.272,.851,76.9,.128
102,2008,NBA,1,5,MEM,Kevin Love\loveke01,19.297,F,us,University of California Los Angeles,2009,2018,635,32.2,18.3,11.3,2.3,0.7,0.5,.444,.478,.370,.824,76.9,.181
103,2001,NBA,1,6,MEM,Shane Battier\battish01,22.297,F,us,Duke University,2002,2014,977,30.7,8.6,4.2,1.8,1.0,0.9,.437,.486,.384,.743,75.7,.121
104,1981,NBA,1,9,DAL,Rolando Blackman\blackro01,22.109,G,pa,Kansas State University,1982,1994,980,32.7,18.0,3.3,3.0,0.7,0.3,.493,.501,.343,.840,75.6,.113
105,1977,NBA,1,7,NJN,Bernard King\kingbe01,20.193,F,us,University of Tennessee,1978,1993,874,33.7,22.5,5.8,3.3,1.0,0.3,.518,.521,.172,.730,75.4,.123
106,1965,NBA,2,10,NYK,Dick Van Arsdale\vanardi01,22.079,G-F,us,Indiana University,1966,1977,921,34.5,16.4,4.1,3.3,0.3,0.0,.464,.464,,.790,75.2,.114
107,1983,NBA,1,4,SDC,Byron Scott\scottby01,22.097,G,us,Arizona State University,1984,1997,1073,28.1,14.1,2.8,2.5,1.1,0.3,.482,.505,.370,.833,75.2,.120
108,1955,NBA,2,8,ROC,Jack Twyman\twymaja01,20.342,F-G,us,University of Cincinnati,1956,1966,823,31.8,19.2,6.6,2.3,,,.450,.450,,.778,75.0,.138
109,1964,NBA,2,8,NYK,Willis Reed\reedwi01,21.319,C-F,us,Grambling State University,1965,1974,650,35.5,18.7,12.9,1.8,0.0,0.0,.476,.476,,.747,74.9,.156
110,1950,NBA,1,5,CHS,Larry Foust\foustla01,21.310,C-F,us,La Salle University,1951,1962,817,26.8,13.7,9.8,1.7,,,.405,.405,,.741,74.3,.163
111,1974,NBA,1,5,HOU,Bobby Jones\jonesbo01,22.167,F,us,University of North Carolina,1977,1986,774,26.1,11.5,5.5,2.4,1.4,1.3,.550,.552,.000,.780,73.7,.175
112,1975,NBA,1,4,PHO,Alvan Adams\adamsal01,20.319,C-F,us,University of Oklahoma,1976,1988,988,27.5,14.1,7.0,4.1,1.3,0.8,.498,.498,.133,.788,73.5,.130
113,1998,NBA,1,2,VAN,Mike Bibby\bibbymi01,20.047,G,us,University of Arizona,1999,2012,1001,33.9,14.7,3.1,5.5,1.2,0.1,.436,.463,.379,.802,73.2,.104
114,2004,NBA,1,7,PHO,Luol Deng\denglu01,19.074,F,ss,Duke University,2005,2018,880,34.7,15.0,6.1,2.3,1.0,0.5,.455,.481,.332,.770,73.2,.115
115,1979,NBA,1,3,NYK,Bill Cartwright\cartwbi01,21.335,C,us,University of San Francisco,1980,1995,963,28.5,13.2,6.3,1.4,0.5,0.7,.525,.525,.000,.771,72.8,.127
116,2002,NBA,1,7,NYK,Nene Hilario\hilarne01,19.291,F-C,br,,2003,2018,923,26.8,11.7,6.2,1.8,1.1,0.8,.548,.551,.140,.660,71.9,.140
117,1996,NBA,1,3,VAN,Shareef Abdur-Rahim\abdursh01,19.202,F,us,University of California,1997,2008,830,34.8,18.1,7.5,2.5,1.0,0.8,.472,.480,.297,.810,71.2,.118
118,1952,NBA,1,9,MNL,Clyde Lovellette\lovelcl01,22.237,C-F,us,University of Kansas,1954,1964,704,27.1,17.0,9.5,1.6,,,.443,.443,,.757,70.6,.178
119,1970,NBA,1,2,SDR,Rudy Tomjanovich\tomjaru01,21.124,F,us,University of Michigan,1971,1981,768,33.5,17.4,8.1,2.0,0.5,0.2,.501,.504,.262,.784,70.4,.131
120,1995,NBA,1,2,LAC,Antonio McDyess\mcdyean01,20.299,F-C,us,University of Alabama,1996,2011,1015,27.6,12.0,7.5,1.3,0.8,1.1,.497,.499,.117,.670,69.8,.119
121,1991,NBA,1,1,CHH,Larry Johnson\johnsla02,22.109,F,us,University of Nevada Las Vegas,1992,2001,707,36.3,16.2,7.5,3.3,0.7,0.4,.484,.505,.332,.766,69.7,.130
122,1966,NBA,1,2,DET,Dave Bing\bingda01,22.174,G,us,Syracuse University,1967,1978,901,36.4,20.3,3.8,6.0,0.5,0.1,.441,.441,,.775,68.8,.101
123,1959,NBA,1,4,SYR,Dick Barnett\barnedi01,22.185,G-F,us,Tennessee State University,1960,1974,971,29.8,15.8,2.9,2.8,0.0,0.0,.456,.456,,.761,68.7,.114
124,1981,NBA,1,1,DAL,Mark Aguirre\aguirma01,21.187,F-G,us,DePaul University,1982,1994,923,30.0,20.0,5.0,3.1,0.7,0.3,.484,.500,.312,.741,67.8,.117
125,1972,NBA,1,10,BOS,Paul Westphal\westppa01,21.137,G,us,University of Southern California,1973,1984,823,25.5,15.6,1.9,4.4,1.2,0.3,.504,.508,.275,.820,67.7,.155
126,2009,NBA,1,1,LAC,Blake Griffin\griffbl01,20.106,F,us,University of Oklahoma,2011,2018,529,35.0,21.5,9.2,4.3,0.9,0.5,.508,.522,.324,.683,67.3,.174
127,1978,NBA,1,9,CHI,Reggie Theus\theusre01,20.244,G,us,University of Nevada Las Vegas,1979,1991,1026,33.7,18.5,3.3,6.3,1.2,0.2,.471,.486,.252,.826,66.9,.093
128,2002,NBA,1,1,HOU,Yao Ming\mingya01,21.292,C,cn,,2003,2011,486,32.5,19.0,9.2,1.6,0.4,1.9,.524,.525,.200,.833,65.9,.200
129,1986,NBA,1,8,CLE,Ron Harper\harpero01,22.154,G-F,us,Miami University,1987,2001,1009,30.9,13.8,4.3,3.9,1.7,0.7,.446,.474,.289,.720,65.8,.101
