,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1122,Raymond Taylor\raymond-taylor-1,2010,2014,Total,Total,95,2941,31.0,3.9,10.9,2.1,5.5,1.8,5.3,2.0,2.8,0.5,2.4,2.9,4.9,1.4,0.0,2.6,2.6,11.7
1123,Jordan Theodore\jordan-theodore-1,2010,2012,Seton Hall,Big East,97,3003,31.0,4.1,10.0,3.1,7.0,1.0,3.0,3.0,3.8,0.8,2.1,2.9,4.9,1.5,0.1,2.4,2.3,12.2
1124,Antwaine Wiggins\antwaine-wiggins-1,2011,2012,College of Charleston,Southern,67,2078,31.0,4.2,9.6,2.7,5.4,1.5,4.2,1.7,2.8,2.1,3.9,6.0,1.9,0.9,0.8,1.9,1.6,11.6
1125,Andre Young\andre-young-1,2010,2012,Clemson,ACC,97,3011,31.0,3.7,9.0,1.6,3.3,2.1,5.7,1.7,2.1,0.6,1.9,2.5,2.8,1.6,0.0,1.4,1.5,11.2
1126,Anthony Banks\anthony-banks-1,2011,2011,Florida Gulf Coast,A-Sun,30,926,30.9,5.5,11.2,5.5,11.1,0.0,0.1,3.7,5.2,3.5,2.8,6.4,0.9,0.8,0.4,2.4,2.6,14.6
1127,Bogdan Bliznyuk\bogdan-bliznyuk-1,2015,2018,Eastern Washington,Big Sky,138,4265,30.9,5.6,11.3,4.5,8.4,1.1,2.9,3.4,4.0,1.2,4.8,6.0,3.0,0.9,0.4,2.6,2.6,15.7
1128,Alec Burks\alec-burks-1,2010,2011,Colorado,Big 12,68,2100,30.9,6.2,12.6,5.5,10.4,0.7,2.2,5.9,7.3,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19.0
1129,Kyle Collinsworth\kyle-collinsworth-1,2011,2016,Brigham Young,Total,140,4330,30.9,4.4,9.2,4.2,8.5,0.2,0.8,3.2,4.9,2.2,5.3,7.5,5.0,1.6,0.4,2.6,2.2,12.2
1130,Ryan Cook\ryan-cook-1,2012,2013,Maryland-Baltimore County,AEC,56,1732,30.9,4.9,11.8,3.6,8.0,1.3,3.8,3.1,3.6,1.8,3.5,5.3,1.8,1.0,0.4,2.3,2.9,14.1
1131,Stephen Croone\stephen-croone-1,2013,2016,Furman,Southern,121,3744,30.9,4.7,10.7,3.6,6.9,1.1,3.8,5.4,7.2,0.5,3.4,3.9,3.2,1.5,0.3,3.0,2.2,16.0
1132,Mike Douglas\mike-douglas-1,2010,2012,Western Michigan,MAC,98,3033,30.9,2.5,6.2,2.0,4.9,0.5,1.3,2.4,3.1,0.4,2.6,3.1,4.7,1.3,0.2,2.6,2.1,7.8
1133,Dynile Forbes\dynile-forbes-1,2010,2010,Louisiana-Monroe,Sun Belt,31,958,30.9,3.8,9.0,1.9,4.1,1.9,5.0,2.7,3.5,0.7,3.3,4.0,1.0,1.4,0.2,1.4,1.6,12.3
1134,Marcus Georges-Hunt\marcus-georges-hunt-1,2013,2016,Georgia Tech,ACC,130,4017,30.9,4.4,10.1,3.4,7.3,0.9,2.9,3.6,4.8,1.5,2.9,4.5,2.2,0.9,0.2,1.7,2.4,13.3
1135,Joseph Harris\joseph-harris-1,2010,2010,Coastal Carolina,Big South,35,1082,30.9,5.7,10.9,5.6,10.7,0.1,0.2,2.7,4.3,3.1,6.5,9.6,1.4,1.9,0.9,1.5,2.2,14.2
1136,Mac Hopson\mac-hopson-1,2010,2010,Idaho,WAC,30,926,30.9,4.5,10.5,3.2,7.0,1.3,3.5,4.1,5.5,1.1,4.0,5.1,5.2,1.1,0.1,3.2,2.2,14.4
1137,Rick Jackson\rick-jackson-1,2010,2011,Syracuse,Big East,70,2165,30.9,4.9,8.3,4.9,8.3,0.0,0.0,1.7,3.2,3.1,5.6,8.7,2.0,1.2,2.2,2.0,2.0,11.4
1138,Nick Johnson\nick-johnson-1,2012,2014,Arizona,Pac-12,108,3339,30.9,4.1,9.7,2.8,6.0,1.3,3.7,2.8,3.9,0.6,3.1,3.7,2.8,1.3,0.6,1.8,2.0,12.3
1139,Marcus Keene\marcus-keene-1,2014,2017,Total,Total,86,2655,30.9,6.1,13.9,3.4,6.7,2.8,7.3,3.6,4.5,0.4,3.0,3.5,3.4,0.8,0.0,2.8,2.0,18.6
1140,Kevin Larsen\kevin-larsen-1,2013,2016,George Washington,A-10,136,4209,30.9,4.1,8.0,3.9,7.6,0.2,0.4,2.4,3.7,2.7,4.3,7.0,2.1,0.6,0.7,1.7,1.8,10.8
1141,Adam Link\adam-link-1,2013,2014,Western Illinois,Summit,61,1883,30.9,3.6,6.6,3.6,6.5,0.0,0.1,2.4,3.6,1.4,3.0,4.4,1.6,0.8,0.5,1.7,1.8,9.6
1142,Kevon Looney\kevon-looney-1,2015,2015,UCLA,Pac-12,36,1113,30.9,4.2,8.9,3.6,7.4,0.6,1.5,2.6,4.1,3.4,5.8,9.2,1.4,1.3,0.9,1.3,2.9,11.6
1143,Menji Mundadi\menji-mundadi-1,2010,2010,Alabama State,SWAC,31,959,30.9,4.8,11.1,1.8,3.6,3.0,7.5,2.9,3.8,0.8,3.0,3.9,0.9,1.0,0.1,1.7,1.3,15.6
1144,Le'Bryan Nash\lebryan-nash-1,2012,2015,Oklahoma State,Big 12,126,3893,30.9,5.0,11.0,4.8,9.8,0.2,1.1,4.3,5.7,1.2,3.8,5.1,1.7,0.6,0.6,2.6,3.0,14.6
1145,Kyle O'Quinn\kyle-oquinn-1,2010,2012,Norfolk State,MEAC,98,3024,30.9,5.6,10.0,5.2,8.3,0.4,1.7,3.2,4.6,3.1,7.0,10.1,1.1,0.6,2.6,2.3,3.3,14.7
1146,Michael Porrini\michael-porrini-2,2011,2012,Kent State,MAC,69,2131,30.9,3.3,8.3,2.5,5.8,0.8,2.5,2.2,3.3,1.4,3.4,4.8,4.5,1.7,0.4,2.8,2.5,9.5
1147,Armel Potter\armel-potter-1,2016,2017,Charleston Southern,Big South,61,1884,30.9,4.7,11.2,3.5,7.5,1.2,3.7,2.6,4.1,0.5,2.4,2.9,3.2,0.9,0.1,1.9,1.8,13.2
1148,James Robinson\james-robinson-2,2013,2016,Pittsburgh,Total,136,4204,30.9,2.6,6.9,1.8,4.4,0.8,2.4,2.2,2.8,0.4,2.6,3.0,4.4,1.2,0.2,1.3,2.3,8.2
1149,Josh Robinson\josh-robinson-3,2015,2017,Austin Peay,OVC,95,2935,30.9,4.9,12.1,2.9,6.6,2.0,5.5,3.9,4.8,0.4,2.2,2.6,2.3,0.9,0.1,2.2,1.3,15.7
1150,Junior Robinson\lamont-robinson-1,2015,2018,Mount St. Mary's,NEC,131,4049,30.9,4.6,11.2,2.8,6.4,1.8,4.7,3.3,3.9,0.4,1.5,1.9,3.5,1.0,0.1,2.5,2.3,14.3
1151,Brenton Scott\brenton-scott-1,2015,2018,Indiana State,MVC,125,3865,30.9,4.7,11.9,2.6,6.1,2.2,5.8,2.4,3.4,0.5,4.1,4.6,1.9,1.4,0.2,2.1,2.0,14.1
1152,Eli Scott\eli-scott-1,2018,2018,Loyola Marymount,WCC,31,958,30.9,4.8,10.1,4.7,9.6,0.1,0.5,3.0,5.0,2.8,4.5,7.3,2.3,0.8,0.3,2.7,2.1,12.6
1153,John Simons\john-simons-1,2013,2016,Central Michigan,MAC,127,3928,30.9,3.1,7.0,1.1,1.9,2.0,5.1,1.8,2.3,1.5,4.6,6.1,0.9,0.8,0.3,0.9,2.1,10.1
1154,Josh Slater\josh-slater-1,2010,2011,Lipscomb,A-Sun,60,1855,30.9,5.1,11.6,3.9,7.7,1.3,3.9,5.3,7.5,1.8,3.9,5.8,4.9,2.5,0.3,3.0,2.5,16.8
1155,Jeffrey Solarin\jeffrey-solarin-1,2014,2015,Idaho State,Big Sky,58,1795,30.9,5.0,8.7,5.0,8.7,0.0,0.0,1.5,2.6,3.8,5.0,8.7,0.9,0.6,0.6,1.7,2.2,11.5
1156,Tavares Speaks\tavares-speaks-1,2012,2013,Liberty,Big South,68,2101,30.9,4.4,9.9,4.1,9.1,0.3,0.8,2.7,3.4,0.6,2.8,3.4,1.0,1.2,0.1,1.9,2.4,11.8
1157,Alexander Starling\alexander-starling-1,2010,2011,Bethune-Cookman,MEAC,66,2041,30.9,3.8,7.2,3.7,7.1,0.0,0.2,2.7,4.0,2.5,4.2,6.6,0.9,1.7,1.0,1.8,3.3,10.3
1158,Edwin Ubiles\edwin-ubiles-1,2010,2010,Siena,MAAC,30,926,30.9,6.3,13.3,5.3,10.8,1.0,2.4,1.8,2.7,1.0,2.7,3.7,2.2,1.1,0.2,1.9,1.3,15.3
1159,Brian Voelkel\brian-voelkel-1,2011,2014,Vermont,AEC,134,4134,30.9,1.7,4.3,1.5,3.5,0.2,0.8,2.3,3.6,2.5,6.3,8.7,5.1,1.5,0.2,2.2,1.8,6.0
1160,Antonio Ballard\antonio-ballard-1,2010,2011,Miami (OH),MAC,50,1542,30.8,3.3,6.6,2.9,5.1,0.4,1.5,2.4,3.3,2.3,3.8,6.2,1.4,0.7,0.5,1.8,1.9,9.4
1161,Kentrell Barkley\kentrell-barkley-1,2016,2018,East Carolina,AAC,87,2679,30.8,3.9,8.8,2.9,5.9,1.0,2.9,3.1,4.6,1.8,5.3,7.0,2.6,1.2,0.5,2.1,1.8,11.8
1162,Trevor Booker\trevor-booker-1,2010,2010,Clemson,ACC,32,984,30.8,5.9,11.3,5.6,10.2,0.3,1.1,3.2,5.3,2.8,5.6,8.4,2.5,1.3,1.4,1.9,2.0,15.2
1163,Jarrell Brantley\jarrell-brantley-1,2016,2018,College of Charleston,CAA,90,2775,30.8,5.1,10.7,4.3,8.5,0.8,2.2,3.2,4.2,1.9,5.8,7.7,1.4,1.2,0.6,2.5,3.0,14.2
1164,Angelo Caloiaro\angelo-caloiaro-1,2010,2012,San Francisco,WCC,98,3020,30.8,3.4,7.5,1.7,3.2,1.7,4.3,2.5,3.3,1.2,4.5,5.7,2.0,1.1,0.2,1.5,2.2,11.1
1165,Julius Coles\julius-coles-1,2010,2011,Canisius,MAAC,61,1876,30.8,4.1,11.1,2.5,6.3,1.6,4.8,2.5,3.6,1.2,3.1,4.3,1.6,0.9,0.3,2.0,1.6,12.3
1166,Khalil Davis\khalil-davis-1,2015,2016,Austin Peay,OVC,66,2034,30.8,3.3,8.4,2.4,5.4,0.9,3.0,3.0,4.7,1.7,2.7,4.4,2.6,1.1,0.3,2.5,2.6,10.6
1167,Marcus DeBerry\marcus-deberry-1,2016,2017,Northern Arizona,Big Sky,62,1910,30.8,3.1,9.1,1.3,3.3,1.8,5.8,1.0,1.3,0.4,3.0,3.4,2.3,0.7,0.1,1.4,1.2,9.0
1168,Stu Douglass\stu-douglass-1,2010,2012,Michigan,Big Ten,101,3106,30.8,2.6,6.7,1.1,2.3,1.5,4.4,0.5,0.7,0.3,2.3,2.6,2.1,0.8,0.1,1.1,1.6,7.2
1169,Nick Emery\nick-emery-1,2016,2017,Brigham Young,WCC,70,2156,30.8,5.1,12.1,2.6,5.6,2.5,6.5,2.1,2.5,0.3,3.0,3.3,2.5,1.5,0.2,1.7,2.9,14.7
1170,Rahmon Fletcher\rahmon-fletcher-1,2010,2011,Green Bay,Horizon,65,2004,30.8,5.8,12.7,4.2,8.4,1.6,4.3,2.5,3.4,0.4,1.8,2.2,3.0,1.6,0.1,2.6,2.4,15.7
1171,Josh Jackson\josh-jackson-2,2017,2017,Kansas,Big 12,35,1077,30.8,6.3,12.3,5.3,9.7,1.0,2.6,2.8,4.9,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3
1172,Keon Johnson\keon-johnson-1,2014,2017,Winthrop,Big South,128,3940,30.8,4.9,11.5,2.6,5.7,2.3,5.8,4.0,4.8,0.4,2.7,3.1,2.1,0.7,0.0,1.7,1.9,16.2
1173,Darius Johnson-Odom\darius-johnson-odom-1,2010,2012,Marquette,Big East,105,3238,30.8,5.3,12.0,3.2,6.7,2.1,5.2,3.0,4.1,0.5,2.5,3.1,2.5,0.9,0.2,2.1,2.3,15.7
1174,Kyree Jones\kyree-jones-1,2011,2014,Total,Total,40,1231,30.8,3.6,10.9,1.7,4.6,2.0,6.3,3.3,3.8,0.6,1.8,2.4,2.2,1.0,0.1,1.8,1.3,12.5
1175,Lazeric Jones\lazeric-jones-1,2011,2012,UCLA,Total,66,2034,30.8,3.8,9.3,2.6,5.8,1.3,3.4,2.3,3.0,0.5,2.3,2.8,3.9,1.4,0.3,2.3,2.3,11.3
1176,Kris Joseph\kris-joseph-1,2010,2012,Syracuse,Big East,106,3267,30.8,4.2,9.3,3.2,6.4,1.0,2.9,3.4,4.6,1.5,3.7,5.2,1.8,1.4,0.6,1.8,1.8,12.8
1177,Sean Kilpatrick\sean-kilpatrick-1,2011,2014,Cincinnati,Total,140,4315,30.8,5.1,12.1,2.8,5.6,2.2,6.4,3.0,3.8,1.3,3.1,4.3,2.0,1.2,0.2,1.7,1.3,15.3
1178,Trevor Lacey\trevor-lacey-1,2012,2015,Total,Total,104,3199,30.8,3.9,9.3,2.2,4.8,1.6,4.5,2.1,2.8,0.5,3.4,3.8,2.8,1.1,0.2,1.9,1.6,11.5
1179,Travis Leslie\travis-leslie-1,2010,2011,Georgia,SEC,64,1974,30.8,5.4,11.0,5.1,10.2,0.3,0.8,3.5,4.5,3.2,3.9,7.0,2.7,1.3,0.8,2.4,2.0,14.6
1180,Lauri Markkanen\lauri-markkanen-1,2017,2017,Arizona,Pac-12,37,1140,30.8,5.0,10.2,3.1,5.8,1.9,4.4,3.7,4.4,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.0,15.6
1181,Mackey McKnight\mackey-mcknight-1,2011,2014,Lehigh,Patriot,127,3914,30.8,3.3,8.2,2.3,5.2,1.0,3.0,2.9,3.7,0.5,2.6,3.2,4.6,1.1,0.1,2.2,2.2,10.4
1182,Jeffrey Merritt\jeffrey-merritt-1,2010,2012,Samford,Southern,92,2833,30.8,3.1,6.6,2.2,4.2,0.8,2.5,1.3,2.4,1.2,4.6,5.8,2.2,1.0,0.3,1.9,2.4,8.3
1183,Codi Miller-McIntyre\codi-miller-mcintyre-1,2013,2016,Wake Forest,ACC,117,3607,30.8,4.2,9.8,3.7,7.7,0.6,2.1,2.3,3.6,0.9,2.8,3.7,3.8,0.8,0.1,2.2,2.0,11.4
1184,Michael Moss\michael-moss-1,2011,2011,Houston Baptist,GWC,31,955,30.8,3.5,8.5,2.6,6.0,0.9,2.5,2.1,2.8,1.1,4.2,5.3,4.1,2.8,0.2,4.0,2.5,10.0
1185,Shabazz Muhammad\shabazz-muhammad-1,2013,2013,UCLA,Pac-12,32,987,30.8,6.3,14.3,5.1,10.9,1.3,3.3,4.0,5.6,2.7,2.5,5.2,0.8,0.7,0.1,1.6,1.7,17.9
1186,Justin Nabors\justin-nabors-1,2010,2010,Lamar,Southland,31,955,30.8,5.3,10.4,5.1,9.7,0.2,0.7,3.8,5.5,3.5,6.2,9.7,1.6,0.9,0.7,3.3,2.6,14.6
1187,Georgie Pacheco-Ortiz\georgie-pacheco-ortiz-1,2017,2018,Liberty,Big South,72,2217,30.8,2.9,6.9,1.7,3.9,1.2,2.9,2.3,2.7,0.4,2.4,2.8,2.5,0.8,0.1,1.3,1.3,9.3
1188,Mike Powell\mike-powell-1,2012,2014,Rhode Island,A-10,69,2128,30.8,2.4,7.4,1.5,4.4,0.9,3.1,2.2,3.0,0.7,2.1,2.7,3.3,0.8,0.0,2.7,1.7,8.0
1189,Julius Randle\julius-randle-1,2014,2014,Kentucky,SEC,40,1233,30.8,4.9,9.8,4.8,9.3,0.1,0.5,5.1,7.2,3.5,6.9,10.4,1.4,0.5,0.8,2.5,2.3,15.0
1190,Darrian Ringo\darrian-ringo-1,2018,2018,Miami (OH),MAC,34,1047,30.8,3.4,7.4,2.5,4.6,0.9,2.7,2.1,2.9,0.7,2.8,3.5,6.9,2.7,0.1,3.2,2.7,9.6
1191,Roburt Sallie\roburt-sallie-1,2010,2010,Memphis,CUSA,34,1046,30.8,3.2,7.3,1.4,2.7,1.9,4.6,2.1,3.1,1.1,2.9,4.0,1.9,1.7,0.6,1.3,2.4,10.5
1192,Jeremiah Samarrippas\jeremiah-samarrippas-1,2011,2014,Total,Total,128,3947,30.8,2.9,7.6,1.5,3.6,1.4,4.0,1.3,1.6,0.3,1.8,2.2,4.1,1.4,0.0,2.8,2.0,8.5
1193,Justin Stommes\justin-stommes-1,2010,2011,Eastern Kentucky,OVC,60,1846,30.8,4.4,9.2,2.4,4.3,2.0,4.8,2.2,2.8,0.4,3.0,3.4,3.1,0.9,0.3,2.1,1.5,13.1
1194,Isaiah Taylor\isaiah-taylor-1,2014,2016,Texas,Big 12,92,2831,30.8,4.5,11.1,4.1,9.8,0.4,1.3,4.3,5.4,0.4,2.7,3.1,4.5,1.0,0.1,2.3,2.5,13.6
1195,Malcolm Thomas\malcolm-thomas-2,2010,2011,San Diego State,MWC,71,2189,30.8,4.2,7.8,4.1,7.5,0.1,0.2,2.7,4.6,2.8,5.1,7.9,2.3,0.7,1.8,2.0,2.2,11.2
1196,Mandell Thomas\mandell-thomas-1,2013,2016,Fordham,A-10,117,3607,30.8,4.1,10.5,2.7,6.6,1.4,3.9,2.2,3.1,1.0,2.7,3.7,2.3,1.7,0.5,1.8,2.1,11.8
1197,Khalif Toombs\khalif-toombs-1,2010,2013,South Carolina State,MEAC,125,3844,30.8,2.9,8.0,1.9,4.9,1.0,3.1,2.4,3.2,0.4,2.0,2.4,4.1,1.2,0.0,2.5,2.5,9.1
1198,Antoine Young\antoine-young-1,2010,2012,Creighton,MVC,108,3330,30.8,3.7,9.1,3.1,7.2,0.6,1.9,2.9,4.1,0.3,1.8,2.1,4.2,0.8,0.0,1.8,1.3,10.9
1199,Darion Anderson\darion-anderson-1,2010,2011,Total,Total,62,1904,30.7,4.2,10.1,3.4,7.1,0.9,3.0,2.4,3.3,1.8,4.8,6.6,3.0,1.1,0.1,2.8,2.0,11.8
1200,Andrew Andrews\andrew-andrews-1,2013,2016,Washington,Pac-12,128,3929,30.7,4.1,10.5,2.5,6.2,1.5,4.3,4.5,5.5,1.1,3.2,4.2,3.0,1.2,0.1,2.1,2.6,14.2
1201,Jaron Blossomgame\jaron-blossomgame-1,2014,2017,Clemson,ACC,128,3925,30.7,4.9,10.0,4.1,7.7,0.8,2.4,3.0,4.1,1.9,4.6,6.5,1.1,0.6,0.7,1.5,1.6,13.5
1202,Jordan Bohannon\jordan-bohannon-1,2017,2018,Iowa,Big Ten,67,2055,30.7,3.8,9.4,1.0,2.9,2.8,6.5,1.8,2.1,0.2,2.0,2.2,5.3,0.8,0.0,2.1,1.7,12.2
1203,Taylor Brown\taylor-brown-1,2010,2012,Bradley,MVC,55,1691,30.7,5.0,11.3,4.3,8.9,0.7,2.3,3.4,4.2,1.9,4.7,6.6,1.4,1.0,0.5,2.3,2.7,14.2
1204,De'Monte Buckingham\demonte-buckingham-1,2017,2018,Richmond,A-10,65,1993,30.7,3.8,8.4,2.5,4.7,1.2,3.6,2.5,3.3,1.4,4.8,6.2,2.8,1.3,0.5,2.3,2.8,11.3
1205,Lovell Cabbil\lovell-cabbil-1,2016,2018,Liberty,Big South,97,2977,30.7,3.4,8.4,1.9,4.1,1.5,4.2,2.1,2.5,0.3,3.4,3.7,2.7,1.4,0.3,1.9,2.4,10.3
1206,Stephon Carter\stephon-carter-1,2011,2013,Cal State Bakersfield,Ind,89,2734,30.7,5.1,11.7,4.8,10.4,0.3,1.3,3.6,5.4,1.3,3.0,4.3,2.7,2.1,0.3,2.8,2.8,14.1
1207,Will Cherry\will-cherry-1,2010,2013,Montana,Big Sky,116,3565,30.7,4.2,9.8,3.3,6.8,0.9,3.1,3.5,4.9,0.6,3.0,3.6,3.4,2.3,0.3,2.4,2.1,12.8
1208,Daejon Davis\daejon-davis-1,2018,2018,Stanford,Pac-12,33,1013,30.7,3.5,7.5,2.8,5.7,0.8,1.9,2.8,4.2,0.7,3.6,4.4,4.8,1.2,0.2,4.0,2.5,10.7
1209,Luka Drca\luka-drca-1,2010,2010,Utah,MWC,31,952,30.7,2.9,7.4,1.7,3.5,1.2,4.0,3.1,3.6,0.5,3.4,3.9,3.1,1.2,0.1,2.6,2.8,10.0
1210,Jackson Emery\jackson-emery-1,2010,2011,Brigham Young,MWC,72,2213,30.7,4.1,9.1,1.7,2.8,2.5,6.3,1.8,2.3,0.6,3.4,4.0,2.7,2.7,0.3,1.1,2.6,12.5
1211,Brandon Fortenberry\brandon-fortenberry-1,2010,2013,Southeastern Louisiana,Southland,90,2764,30.7,4.0,9.5,2.5,5.4,1.5,4.1,2.7,3.8,0.6,2.8,3.4,3.3,0.9,0.2,1.9,2.0,12.2
1212,Phil Gaetano\phil-gaetano-1,2012,2015,Sacred Heart,NEC,123,3781,30.7,1.6,4.5,0.5,1.4,1.1,3.1,1.1,1.2,0.3,2.3,2.6,5.9,0.9,0.1,2.9,1.9,5.4
1213,Eugene Harris\eugene-harris-1,2010,2010,High Point,Big South,30,920,30.7,4.6,12.0,2.2,4.9,2.4,7.0,2.3,2.7,0.4,2.2,2.6,2.0,1.1,0.1,1.6,1.9,14.0
1214,Eric Hayes\eric-hayes-1,2010,2010,Maryland,ACC,33,1014,30.7,3.9,7.8,2.0,3.6,1.9,4.3,1.5,1.7,0.4,2.1,2.5,4.0,0.9,0.3,1.6,1.7,11.3
1215,Rickey Holden\rickey-holden-1,2018,2018,Cal State Bakersfield,WAC,30,920,30.7,3.7,9.0,2.6,5.1,1.1,3.9,2.1,2.6,0.7,2.1,2.8,2.8,1.3,0.0,2.1,2.1,10.7
1216,Peter Hooley\peter-hooley-1,2012,2016,Albany (NY),AEC,127,3905,30.7,3.7,9.1,2.2,4.7,1.4,4.4,3.2,4.0,0.5,2.9,3.4,2.7,0.8,0.1,2.0,1.2,12.0
1217,Alize Johnson\alize-johnson-1,2017,2018,Missouri State,MVC,66,2025,30.7,5.2,11.3,3.9,7.5,1.2,3.8,3.3,4.6,3.2,7.9,11.1,2.4,0.5,0.3,2.3,2.3,14.9
1218,Austin Kenon\austin-kenon-1,2010,2011,Virginia Military Institute,Big South,57,1749,30.7,5.5,13.3,2.4,5.2,3.0,8.1,4.4,5.2,1.1,2.2,3.2,3.4,1.2,0.1,2.2,2.3,18.4
1219,Myles Mack\myles-mack-1,2012,2015,Rutgers,Total,128,3931,30.7,4.2,10.2,2.4,5.2,1.9,5.1,2.6,3.1,0.5,2.4,2.8,3.3,1.6,0.1,2.2,1.7,13.0
1220,Jarell Martin\jarell-martin-1,2014,2015,Louisiana State,SEC,65,1996,30.7,5.0,10.1,4.3,8.0,0.6,2.0,3.1,4.5,2.4,4.6,6.9,1.4,1.0,0.7,2.2,2.6,13.7
1221,E.C. Matthews\ec-matthews-1,2014,2018,Rhode Island,A-10,128,3931,30.7,4.9,11.7,3.2,6.5,1.7,5.2,3.2,4.4,0.9,3.5,4.3,1.7,0.7,0.5,2.4,1.9,14.8
1222,Abner Moreira\abner-moreira-1,2011,2012,Idaho State,Big Sky,59,1811,30.7,2.2,4.9,2.2,4.8,0.0,0.0,1.5,2.2,2.6,4.4,6.9,1.0,0.9,0.4,2.2,2.8,6.0
1223,Jabari Parker\jabari-parker-1,2014,2014,Duke,ACC,35,1074,30.7,6.7,14.3,5.7,11.2,1.1,3.0,4.6,6.1,3.0,5.7,8.7,1.2,1.1,1.2,2.3,2.4,19.1
1224,Terell Parks\terell-parks-1,2012,2013,Western Illinois,Summit,59,1813,30.7,5.1,8.7,5.1,8.7,0.0,0.0,2.0,3.8,2.8,6.6,9.3,1.6,1.1,1.9,1.7,2.9,12.2
1225,Levi Randolph\levi-randolph-1,2012,2015,Alabama,SEC,135,4139,30.7,3.4,7.7,2.5,5.1,0.9,2.7,2.3,3.0,1.2,3.0,4.3,1.8,1.1,0.2,1.3,2.0,9.9
1226,Will Rayman\will-rayman-1,2017,2018,Colgate,Patriot,65,1993,30.7,4.8,10.8,2.8,5.9,2.0,5.0,2.9,3.9,1.6,4.0,5.7,1.1,0.9,0.6,1.9,2.7,14.6
1227,Chandler Rhoads\chandler-rhoads-1,2010,2013,New Hampshire,AEC,114,3495,30.7,2.8,8.4,2.0,5.3,0.8,3.1,2.4,4.3,0.5,2.9,3.4,2.7,1.0,0.1,2.1,2.0,8.9
1228,Noah Robotham\noah-robotham-1,2015,2017,Akron,MAC,88,2699,30.7,3.0,7.4,1.3,3.2,1.6,4.3,1.8,2.4,0.4,2.1,2.5,3.3,1.1,0.0,1.6,1.7,9.4
1229,Mike Rodriguez\mike-rodriguez-1,2016,2017,Southern Illinois,MVC,65,1993,30.7,3.2,7.9,2.5,5.6,0.7,2.3,3.5,5.0,0.3,1.8,2.2,3.5,1.3,0.1,1.8,2.2,10.6
1230,Clint Sargent\clint-sargent-1,2010,2011,South Dakota State,Summit,61,1872,30.7,4.4,10.9,2.0,4.7,2.5,6.2,2.6,3.2,0.6,2.3,3.0,1.2,0.5,0.1,1.1,2.0,14.0
1231,Lamar Stevens\lamar-stevens-1,2017,2018,Penn State,Big Ten,72,2208,30.7,5.3,11.7,4.7,9.9,0.6,1.8,3.1,4.3,1.5,4.3,5.8,1.8,0.7,0.9,2.2,2.5,14.2
1232,Carlos Strong\carlos-strong-1,2010,2010,Boston University,AEC,35,1075,30.7,3.6,7.5,1.9,3.9,1.7,3.6,2.1,3.1,1.4,3.2,4.6,1.8,1.7,0.4,1.3,2.7,10.9
1233,Anthony Thomas\anthony-thomas-1,2010,2010,Boise State,WAC,32,982,30.7,2.7,7.0,1.4,3.0,1.3,4.0,1.0,1.7,0.5,2.5,3.0,3.8,1.6,0.0,2.7,2.6,7.6
1234,Tristan Thompson\tristan-thompson-2,2011,2011,Texas,Big 12,36,1104,30.7,4.8,8.8,4.8,8.8,0.0,0.0,3.5,7.3,3.8,4.0,7.8,1.3,0.9,2.4,1.8,2.8,13.1
1235,Jameel Warney\jameel-warney-1,2013,2016,Stony Brook,AEC,135,4140,30.7,6.5,11.0,6.5,11.0,0.0,0.0,2.7,4.6,3.5,5.9,9.4,1.6,0.8,2.0,1.4,2.1,15.8
1236,Josh Watkins\josh-watkins-1,2011,2012,Utah,Total,43,1319,30.7,5.1,12.6,4.5,9.8,0.7,2.8,4.0,5.8,0.6,2.1,2.7,4.1,1.0,0.1,3.7,2.9,14.9
1237,Parker Wentz\parker-wentz-1,2014,2016,Abilene Christian,Southland,93,2852,30.7,3.6,8.0,1.3,2.8,2.3,5.2,2.0,2.3,0.2,1.8,2.0,1.7,1.5,0.1,1.4,2.1,11.4
1238,Jalan West\jalan-west-1,2013,2018,Northwestern State,Southland,104,3191,30.7,5.0,11.1,2.8,5.6,2.3,5.6,3.9,4.6,0.5,3.1,3.6,6.3,2.2,0.2,2.4,2.1,16.3
1239,Ron Baker\ron-baker-1,2013,2016,Wichita State,MVC,124,3795,30.6,4.2,9.7,2.3,4.4,2.0,5.3,2.8,3.5,0.8,3.4,4.2,2.8,1.3,0.6,1.4,1.7,13.2
1240,Scott Bamforth\scott-bamforth-1,2011,2013,Weber State,Big Sky,99,3026,30.6,4.2,9.0,1.6,3.2,2.6,5.8,2.6,3.0,0.3,2.9,3.2,2.5,0.8,0.0,1.6,1.8,13.6
1241,Daniel Barnes\daniel-barnes-1,2011,2013,Illinois-Chicago,Horizon,67,2047,30.6,3.6,9.6,1.4,3.3,2.2,6.2,1.3,1.9,0.4,3.2,3.6,1.2,1.4,0.3,1.7,2.0,10.7
