,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
27,Charles Jenkins\charles-jenkins-1,2010,2011,Hofstra,CAA,67,2466,36.8,7.2,15.1,5.3,10.5,1.9,4.6,5.2,6.4,0.8,3.1,4.0,4.4,1.8,0.6,2.7,2.3,21.6
28,Jon Scheyer\jon-scheyer-1,2010,2010,Duke,ACC,40,1470,36.8,5.3,13.3,2.6,6.1,2.8,7.2,4.9,5.5,0.8,2.8,3.6,4.9,1.6,0.3,1.6,1.4,18.2
29,Ishmael Smith\ishmael-smith-1,2010,2010,Wake Forest,ACC,31,1140,36.8,5.7,13.5,5.3,11.8,0.4,1.7,1.4,2.9,0.9,3.9,4.9,6.0,1.7,0.6,3.1,1.8,13.2
30,Joe Zeglinski\joe-zeglinski-1,2010,2011,Hartford,AEC,60,2208,36.8,5.2,14.5,2.0,5.2,3.1,9.4,1.9,2.7,1.1,3.4,4.6,1.8,1.1,0.2,1.9,2.6,15.3
31,Kevin Anderson\kevin-anderson-1,2010,2011,Richmond,A-10,72,2639,36.7,6.1,13.9,4.6,9.9,1.5,4.0,3.4,4.3,0.5,2.5,3.1,3.0,1.6,0.2,2.2,1.6,17.2
32,Johnathon Jones\johnathon-jones-1,2010,2010,Oakland,Summit,35,1285,36.7,4.0,9.3,2.8,5.7,1.2,3.6,3.0,3.6,0.4,1.9,2.2,6.4,1.8,0.1,3.1,1.9,12.2
33,Ryan Thompson\ryan-thompson-2,2010,2010,Rider,MAAC,33,1209,36.6,5.2,12.4,3.8,8.0,1.4,4.4,5.3,6.5,1.4,3.6,5.0,2.8,1.2,0.3,2.2,2.0,17.2
34,Kelvin Lewis\kelvin-lewis-1,2010,2010,Houston,CUSA,35,1278,36.5,5.2,12.7,2.3,5.3,2.9,7.3,2.2,2.8,1.1,2.9,4.0,1.2,1.8,0.3,0.7,2.1,15.5
35,Mickey McConnell\mickey-mcconnell-1,2010,2011,Saint Mary's (CA),WCC,68,2484,36.5,4.9,9.8,2.7,5.1,2.3,4.7,2.9,3.4,0.5,2.0,2.5,5.6,1.4,0.2,2.3,1.9,15.1
36,Mike Scott\mike-scott-3,2010,2011,Fairleigh Dickinson,NEC,61,2225,36.5,4.0,10.1,2.3,5.6,1.7,4.5,4.0,5.0,0.7,3.8,4.6,4.9,1.5,0.2,3.6,3.2,13.7
37,A.J. Slaughter\aj-slaughter-1,2010,2010,Western Kentucky,Sun Belt,34,1240,36.5,5.4,13.0,3.1,6.5,2.3,6.5,4.4,5.3,0.5,2.7,3.2,4.3,1.6,0.1,2.7,1.9,17.5
38,Kemba Walker\kemba-walker-1,2010,2011,Connecticut,Big East,75,2740,36.5,6.2,14.9,4.7,10.4,1.5,4.5,5.5,6.9,1.1,3.8,4.9,4.7,2.0,0.3,2.6,1.5,19.5
39,Matthew Dellavedova\matthew-dellavedova-1,2010,2013,Saint Mary's (CA),WCC,136,4944,36.4,4.3,10.5,2.2,4.9,2.1,5.6,3.4,4.0,0.8,2.6,3.4,5.6,1.1,0.1,2.5,1.9,14.2
40,Jon Diebler\jon-diebler-1,2010,2011,Ohio State,Big Ten,74,2696,36.4,4.0,8.4,0.9,1.6,3.1,6.8,1.8,2.1,0.3,2.4,2.7,1.9,1.1,0.1,1.0,1.4,12.8
41,Jacob Gilyard\jacob-gilyard-1,2018,2018,Richmond,A-10,32,1166,36.4,3.9,8.7,2.1,4.0,1.8,4.7,1.8,2.1,0.5,1.7,2.2,4.1,2.8,0.0,1.7,1.8,11.4
42,Jerian Grant\jerian-grant-1,2012,2015,Notre Dame,Total,119,4337,36.4,4.7,10.7,3.2,6.4,1.5,4.4,3.8,4.8,0.4,2.5,2.9,5.8,1.5,0.3,2.2,1.8,14.6
43,LaDontae Henton\ladontae-henton-1,2012,2015,Providence,Big East,135,4909,36.4,5.4,12.3,4.0,8.1,1.4,4.1,3.1,4.1,2.4,5.4,7.8,1.2,1.2,0.7,1.8,2.4,15.3
44,Zach Urbanus\zach-urbanus-1,2010,2011,Citadel,Southern,64,2327,36.4,3.6,9.2,1.3,3.4,2.3,5.8,1.2,1.5,0.5,2.5,3.0,2.6,0.7,0.0,1.7,1.1,10.6
45,Derek Williams\derek-williams-2,2010,2010,Southern Methodist,CUSA,31,1129,36.4,5.4,12.4,4.2,8.4,1.2,4.0,4.5,6.0,0.5,2.7,3.2,3.7,0.9,0.1,2.5,1.8,16.6
46,Jaylen Adams\jaylen-adams-1,2015,2018,St. Bonaventure,A-10,110,3998,36.3,4.8,11.3,2.4,5.1,2.5,6.2,5.3,6.3,0.5,2.8,3.4,5.4,1.5,0.2,2.9,2.6,17.4
47,Jahii Carson\jahii-carson-1,2013,2014,Arizona State,Pac-12,68,2471,36.3,6.5,14.3,5.5,11.5,1.0,2.9,4.5,6.2,0.6,3.3,3.8,4.9,0.9,0.1,3.5,2.4,18.5
48,Tweety Carter\tweety-carter-1,2010,2010,Baylor,Big 12,32,1161,36.3,5.0,11.5,2.6,5.1,2.5,6.4,2.4,3.1,0.3,2.4,2.8,5.9,1.3,0.0,2.5,1.8,15.0
49,Landry Fields\landry-fields-1,2010,2010,Stanford,Pac-10,32,1161,36.3,7.8,15.8,6.8,13.1,0.9,2.7,5.6,8.0,2.5,6.2,8.8,2.8,1.6,0.8,2.6,2.0,22.0
50,Adam Grant\adam-grant-1,2017,2018,Bryant,NEC,59,2139,36.3,5.1,13.1,3.0,6.9,2.1,6.2,2.1,2.9,1.0,2.6,3.6,2.5,1.2,0.1,2.3,2.3,14.4
51,Maurice Jones\maurice-jones-2,2011,2012,Southern California,Total,66,2393,36.3,3.9,11.0,2.5,6.7,1.4,4.4,2.2,3.4,0.4,2.2,2.6,3.3,1.9,0.0,2.2,1.7,11.4
52,Anthony Nelson\anthony-nelson-1,2010,2011,Niagara,MAAC,62,2248,36.3,3.6,9.2,2.6,5.8,0.9,3.5,4.4,6.4,1.6,3.2,4.9,5.0,2.3,0.1,3.1,2.3,12.5
53,Chaisson Allen\chaisson-allen-1,2010,2011,Northeastern,CAA,62,2244,36.2,5.0,11.6,2.8,6.1,2.1,5.4,3.0,4.2,1.2,4.1,5.4,3.6,1.8,0.0,2.1,1.8,15.0
54,Ryan Brooks\ryan-brooks-2,2010,2010,Temple,A-10,35,1266,36.2,5.1,12.4,3.5,7.3,1.6,5.0,2.4,2.9,0.6,3.6,4.2,2.3,0.8,0.1,1.2,1.5,14.3
55,Jon Elmore\jon-elmore-1,2016,2018,Marshall,CUSA,96,3476,36.2,5.9,14.1,3.4,7.0,2.5,7.2,5.4,6.6,0.6,4.1,4.7,6.2,1.2,0.2,3.2,1.9,19.7
56,DeAndre Bembry\deandre-bembry-1,2014,2016,Saint Joseph's,A-10,101,3645,36.1,5.7,12.6,4.6,8.8,1.2,3.8,3.1,4.9,1.4,5.3,6.7,3.6,1.4,0.8,2.5,2.5,15.7
57,Ceola Clark\ceola-clark-1,2010,2013,Western Illinois,Summit,95,3429,36.1,4.2,9.3,1.9,4.0,2.3,5.4,2.5,3.3,0.8,3.1,3.9,4.1,2.0,0.1,1.8,1.8,13.1
58,Nick Coppola\nick-coppola-1,2014,2017,Louisiana-Monroe,Sun Belt,132,4768,36.1,3.3,8.2,1.8,4.3,1.4,4.0,1.4,2.0,0.4,2.6,2.9,4.2,0.7,0.0,1.9,1.9,9.3
59,Maurice Harkless\maurice-harkless-1,2012,2012,St. John's (NY),Big East,32,1155,36.1,6.0,13.3,5.5,10.9,0.5,2.5,2.9,4.3,2.8,5.9,8.6,1.5,1.6,1.4,2.5,2.3,15.5
60,Manny Harris\manny-harris-1,2010,2010,Michigan,Big Ten,31,1120,36.1,5.8,13.9,4.3,8.8,1.5,5.0,4.9,6.1,1.8,4.2,6.0,4.1,1.8,0.4,2.8,1.5,18.1
61,Matt Janning\matt-janning-1,2010,2010,Northeastern,CAA,33,1190,36.1,5.3,12.9,3.7,8.1,1.6,4.8,3.2,4.3,0.5,3.4,3.9,3.1,1.5,0.2,2.1,1.7,15.4
62,Tyren Johnson\tyren-johnson-1,2010,2010,Louisiana,Sun Belt,30,1082,36.1,6.8,13.7,5.8,10.9,1.0,2.8,3.3,4.7,2.0,6.0,8.0,3.3,1.8,1.5,3.6,2.8,17.9
63,Sean McGonagill\sean-mcgonagill-1,2011,2014,Brown,Ivy,114,4110,36.1,4.7,12.0,2.5,6.0,2.2,6.0,2.6,3.4,0.6,3.8,4.4,4.6,1.2,0.1,2.9,2.4,14.2
64,Laurynas Motuzis\laurynas-motuzis-1,2018,2018,American,Patriot,30,1083,36.1,5.2,12.4,3.1,6.1,2.1,6.3,2.2,3.4,0.7,4.0,4.8,1.7,1.6,0.2,2.2,2.8,14.6
65,Bilal Benn\bilal-benn-2,2010,2010,Niagara,MAAC,30,1079,36.0,5.0,12.5,3.9,8.5,1.1,4.0,2.4,3.3,3.6,6.4,9.9,3.2,1.9,0.4,2.4,2.8,13.5
66,Olivier Hanlan\olivier-hanlan-1,2013,2015,Boston College,ACC,97,3493,36.0,5.8,12.9,4.0,7.8,1.8,5.0,4.3,5.6,0.6,3.3,3.9,3.1,1.1,0.1,2.4,2.2,17.8
67,Ronald Moore\ronald-moore-1,2010,2010,Siena,MAAC,34,1225,36.0,2.5,7.9,2.0,5.6,0.5,2.3,1.5,2.3,0.9,2.5,3.4,7.7,1.9,0.1,2.9,1.6,7.0
68,Donald Sims\donald-sims-1,2010,2011,Appalachian State,Southern,68,2447,36.0,6.3,13.9,3.3,6.4,3.0,7.5,5.2,5.7,0.3,3.1,3.4,2.9,1.3,0.1,2.6,1.3,20.7
69,Brian Beard Jr.\brian-beardjr-1,2018,2018,Florida International,CUSA,31,1114,35.9,5.4,13.3,4.2,8.5,1.2,4.7,4.5,6.9,0.2,3.7,3.9,5.7,2.9,0.0,3.2,2.5,16.4
70,Glenn Cosey\glenn-cosey-1,2013,2014,Eastern Kentucky,OVC,63,2260,35.9,5.2,12.1,2.1,4.7,3.1,7.4,3.6,4.3,0.5,2.7,3.2,3.7,1.4,0.0,1.6,1.8,17.1
71,Michael Deloach\michael-deloach-1,2010,2010,Norfolk State,MEAC,30,1077,35.9,7.9,15.8,6.7,12.0,1.2,3.8,4.7,6.9,0.9,3.5,4.4,3.3,2.6,0.1,4.1,3.1,21.7
72,Kay Felder\kahlil-felder-1,2014,2016,Oakland,Horizon,101,3626,35.9,5.5,12.9,4.1,8.8,1.4,4.1,5.1,6.2,0.7,3.7,4.3,7.8,1.6,0.2,3.5,2.8,17.5
73,Aaron Johnson\aaron-johnson-2,2010,2011,Alabama-Birmingham,CUSA,65,2333,35.9,3.2,7.4,2.5,4.9,0.8,2.5,3.4,4.5,0.3,2.4,2.7,6.2,1.5,0.0,3.1,2.8,10.6
74,Brandon Knight\brandon-knight-1,2011,2011,Kentucky,SEC,38,1363,35.9,5.7,13.5,3.4,7.4,2.3,6.1,3.6,4.5,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3
75,Devon Saddler\devon-saddler-1,2011,2014,Delaware,CAA,124,4449,35.9,6.0,14.1,4.5,9.5,1.5,4.6,4.3,5.8,0.9,3.4,4.3,2.7,0.8,0.2,3.0,2.2,17.9
76,John Shurna\john-shurna-1,2010,2012,Northwestern,Big Ten,99,3558,35.9,6.3,13.4,3.8,7.3,2.5,6.2,3.2,4.4,1.4,4.2,5.6,2.7,1.1,1.2,1.8,1.9,18.3
77,Ethan Telfair\ethan-telfair-1,2016,2017,Idaho State,Big Sky,59,2121,35.9,5.5,14.9,3.7,9.9,1.8,5.0,5.9,7.1,0.8,3.3,4.1,5.1,2.2,0.2,3.5,2.3,18.7
78,Da'Sean Butler\dasean-butler-1,2010,2010,West Virginia,Big East,38,1360,35.8,5.5,13.2,3.6,8.0,1.8,5.2,4.4,5.6,1.6,4.6,6.2,3.1,1.0,0.4,1.8,2.2,17.2
79,Kareem Canty\kareem-canty-1,2014,2016,Total,Total,54,1932,35.8,5.8,15.1,3.3,7.6,2.5,7.5,3.0,4.1,0.6,2.0,2.5,5.4,0.7,0.1,3.4,1.7,17.1
80,Chris Howard\chris-howard-2,2010,2010,South Florida,Big East,33,1182,35.8,3.4,7.8,2.6,5.1,0.8,2.7,2.8,3.9,1.2,2.8,3.9,3.8,0.7,0.3,1.7,2.2,10.3
81,Damon Lynn\damon-lynn-1,2014,2017,NJIT,Total,118,4225,35.8,5.6,15.0,1.9,4.6,3.7,10.4,3.4,4.2,0.4,2.4,2.8,3.1,1.6,0.1,2.3,1.5,18.2
82,Michael Roll\michael-roll-1,2010,2010,UCLA,Pac-10,32,1144,35.8,5.2,11.2,2.7,5.3,2.5,5.9,1.1,1.5,0.3,2.5,2.8,3.6,1.0,0.1,1.9,1.9,14.1
83,Johquin Wiley\johquin-wiley-1,2018,2018,Delaware State,MEAC,32,1144,35.8,3.1,8.5,1.8,4.4,1.3,4.1,1.1,1.7,0.3,1.6,1.9,2.8,1.5,0.0,2.6,1.5,8.5
84,Hunter Williams\hunter-williams-1,2013,2014,Troy,Sun Belt,64,2292,35.8,4.1,11.3,1.6,4.7,2.5,6.5,1.3,1.9,0.4,2.0,2.4,3.3,0.8,0.0,2.3,1.3,12.1
85,Ryan Allen\ryan-allen-3,2018,2018,Delaware,CAA,30,1072,35.7,5.4,13.4,2.6,6.0,2.9,7.4,1.6,2.2,0.3,2.2,2.5,1.5,0.5,0.2,1.6,2.9,15.3
86,Trey Burke\trey-burke-1,2012,2013,Michigan,Big Ten,73,2605,35.7,6.0,13.3,4.2,8.3,1.8,5.0,3.1,4.0,0.6,2.7,3.3,5.7,1.3,0.5,2.5,1.7,16.9
